fuelTypeCode,stationName,streetAddress,intersectionDirections,city,state,zip,latitude,longitude,stationPhone,statusCode,groupsWithAccessCode,accessDaysTime,cardsAccepted,bdBlends,ngFillTypeCode,ngPSI,evLevel1EVSENum,evLevel2EVSENum,evDCFastCount,evNetwork,evNetworkWeb,geocodeStatus,dateLastConfirmed,ID,updatedAt,ownerTypeCode,openDate,ngVehicleClass,lpgPrimary,e85BlenderPump,evConnectorTypes,accessCode,country,groupsWithAccessCodeFrench,accessDetailCode,facilityType,cngDispenserNum,cngTotalCompressionCapacity,cngStorageCapacity,e85OtherEthanolBlends,evPricing,lpgNozzleTypes,cngFillTypeCode,cngPSI,cngVehicleClass,evOnSiteRenewableSource,restrictedAccess,cngOnSiteRenewableSource,lngVehicleClass,npsUnitName,cngStationSellsRenewableNatrualGas,lngStationSellsRenewableNatrualGas,maximumVehicleClass,evWorkplaceCharging,geoLocation
ELEC,LAZY DOG STATION 01,4801 Thompson Pkwy,,Johnstown,CO,80534,40.406516,-104.984577,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,193505,2024-02-01 01:21:06 UTC,,08/05/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-104.984577 40.406516)
ELEC,LEGACY@FITZ 2ND FL RESIDENT,13253 E 13th Pl,,Aurora,CO,80011,39.737362,-104.83364,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,192871,2024-02-01 01:20:01 UTC,,07/15/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-104.83364 39.737362)
ELEC,"350 INDIANA CD, STATION 1",350 Indiana St,,Golden,CO,80401,39.720848,-105.16492,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,196488,2024-02-01 01:18:36 UTC,,09/30/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-105.16492 39.720848)
ELEC,DFC GSA ST8,Routt Street,,Denver,CO,80228,39.712869,-105.125965,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,98826,2024-02-01 00:40:52 UTC,,06/12/2018,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-105.125965 39.712869)
ELEC,Five Points Parking Lot,2800 Welton St.,,Denver,CO,80205,39.7556547,-104.9764837,877-455-3833,E,Public,24 hours daily,,,,,,,4,eVgo Network,https://www.evgo.com/,GPS,01/31/2024,254295,2024-01-31 23:56:18 UTC,,02/21/2023,,,,CHADEMO J1772COMBO,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-104.9764837 39.7556547)
ELEC,The AMP,1580 N Logan Street,,Denver,CO,80203,39.7414541,-104.9820575,888-998-2546,E,Public,24 hours daily,,,,,,1,,Blink Network,http://www.blinkcharging.com/,GPS,02/01/2024,309201,2024-02-01 00:02:40 UTC,,12/14/2022,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-104.9820575 39.7414541)
ELEC,SUMMIT COUNTY CC NORTH,37 Peak One Dr,,Frisco,CO,80443,39.57103,-106.080956,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,181539,2024-02-01 01:10:14 UTC,,01/27/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-106.080956 39.57103)
ELEC,BVSD MESA ELEM1,1575 Lehigh St,,Boulder,CO,80305,39.97184,-105.26046,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,183160,2024-02-01 00:53:13 UTC,,01/27/2021,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-105.26046 39.97184)
ELEC,GREENTREE EAGLE GREENTREE EAGLE,0315 Chambers Ave,,Eagle,CO,81631,39.661062,-106.824654,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,227788,2024-02-01 01:35:23 UTC,,09/17/2022,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-106.824654 39.661062)
ELEC,NGSS BOULDER 3,6170 Longbow Dr,,Boulder,CO,80301,40.063474,-105.210479,888-758-4389,E,Public,24 hours daily,,,,,,2,,ChargePoint Network,http://www.chargepoint.com/,GPS,02/01/2024,251790,2024-02-01 01:25:21 UTC,,01/25/2023,,,,J1772,public,US,Public,,,,,,,,,,,,,,,,,,,,false,POINT (-105.210479 40.063474)
